/BIC/ZVCH_OKPO,TXTLG
196196,"ОАО ""ЭПМ-ЧЭЗ"", ОАО ""ЭНЕРГОПРОМ-ЧЭЗ"""
196533,Красноярский з-д цветных металлов ОАО
199898,"ООО ""ПТК"""
202962,Дагфос ОАО
203275,"АО ""КАУСТИК"""
203281,Сибреактив ОАО(Китой-Комбинатская)
203306,Уфахимпром ОАО
203312,"АО ""БСК"""
203335,"ПАО ""КАЗАНЬОРГСИНТЕЗ"""
203393,Кусковский химический з-д ОАО
203648,ОАО 'Аммофос'
203766,"АО ""НЕВИННОМЫССКИЙ АЗОТ"""
203772,ОАО 'Череповецкий 'Азот'
203789,"ПАО ""АКРОН"""
203795,Азот Березниковское ОАО
203803,"ПАО ""МЕТАФРАКС"""
203815,"ПАО ""ДОРОГОБУЖ"""
203938,"АО ""АПАТИТ"""
203944,"ПАО ""УРАЛКАЛИЙ"""
204151,ЧХПО ОАО
204168,"ОАО ""ВОЛЖСКИЙ ОРГСИНТЕЗ"""
204197,Бератон ОАО(Березники)
204211,ОАО 'Котовский ЛКЗ'
204292,"ОАО ""СИБИАР"""
204300,ООО 'Проктер энд Гэмбл-Новомосковск'
204317,Конк произв ОАО `ХИТОН`
204352,ОАО `ГАРМОНИЯ`
204748,СаКиЗ ЗАО
204760,"ОАО ""ЛИНДЕ УРАЛТЕХГАЗ"""
204872,ОАО 'Сода'
205067,"ОАО ""АУРАТ"""
205311,"ОАО ""КУЙБЫШЕВАЗОТ"""
205423,"ОАО ""КОТЛАССКИЙ ХИМЗАВОД"""
206167,Минудобрения ОАО
206457,"АО ""ХИМЗАВОД ИМ.КАРПОВА"""
206486,"АО ""МИНУДОБРЕНИЯ"""
206492,"ОАО ""ТОАЗ"""
209800,"АО ""СКТБ ""КАТАЛИЗАТОР"""
210051,Химпром НИЦ ОАО
210571,Уралмашзавод (ст.Свердловск-Тов.)
210743,ОАО МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД ИМ. В.В. ВОРОВСКОГО
210849,Камбарский машзавод
215155,"АО ""НОВОЗЫБКОВСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД"""
217403,Рузаевский з-д химического машиностроения ОАО
219247,"НПО ГЕЛИЙМАШ"" ОАО"
231395,ЗИЛ АМО
231515,Камаз АО
239445,"ОАО ""ВОЛГОЦЕММАШ"""
248929,Беломорская сплавная контора АО
250866,Волховская Химия ООО
251475,Увадрев ОАО
253497,ЗАО 'Интернешнл Пейпер'
254798,Усть-Илимское ПЖДТ ОАО(Усть-Илимск)
255088,"ЗАО "" МУРОМ """
255094,"АО ""ЧФМК"""
255177,"НАО ""СВЕЗА КОСТРОМА"""
255190,"НАО ""СВЕЗА УСТЬ-ИЖОРА"""
255266,"НАО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА"""
255421,Домостроитель ОАО
255444,Лузский ЛПК ОАО
255823,"ОАО ""СОЛОМБАЛЬСКИЙ ЛДК"""
255881,ОАО 'ЛЕСОЗАВОД N3'
