/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
509,00.00.0000,00.00.0000,Дебальцево-ЛВЧД,Пассажирское вагонное депо Дебальцево,Пассажирское вагонное депо Дебальцево
509,31.12.9999,01.01.1000,Дебальцево-ЛВЧД,,
510,00.00.0000,00.00.0000,Деpбент-ВЧД,Вагонное депо Деpбент,Вагонное депо Деpбент
510,31.12.9999,01.01.1000,Деpбент-ВЧД,,
511,00.00.0000,00.00.0000,Минеpальные воды-ВЧД,Пасс.вагонное депо Минеpальные воды,Пассажиpское вагонное депо Минеpальные воды
511,31.12.9999,01.01.1000,Минеpальныеводы-ВЧД,,
512,00.00.0000,00.00.0000,Махачкала ВЧДЭ,Экспл.вагонное депо Махачкала,Эксплуатационное вагонное депо Махачкала
512,31.12.9999,01.01.1000,ЮВКВРДМахачкала,,
513,00.00.0000,00.00.0000,Грозный-ВЧД,Вагонное депо Грозный,Вагонное депо Грозный
513,31.12.9999,01.01.1000,Грозный-ВЧД,,
514,00.00.0000,00.00.0000,Прохладная-ВЧД,Вагонное депо Прохладная,Вагонное депо Прохладная
514,30.06.2012,01.01.1000,Прохладная-ВЧД,,
514,31.12.9999,01.07.2012,Прохладная-ВЧД,,
515,00.00.0000,00.00.0000,ТЧ-25 (ПТО Гудермес),Локом.депо Гудеpмес (ПТО Гудермес),Локомотивное депо Гудеpмес (ПТО Гудермес)
515,31.12.9999,01.01.1000,ТЧ-25(ПТОГудермес),,
518,00.00.0000,00.00.0000,Николаев-ЛВЧД,Пассажирское вагонное депо Николаев,Пассажирское вагонное депо Николаев
518,31.12.9999,01.01.1000,Николаев-ЛВЧД,,
519,00.00.0000,00.00.0000,Знаменка-ВЧД,Вагонное депо Знаменка,Вагонное депо Знаменка
519,31.12.9999,01.01.1000,Знаменка-ВЧД,,
520,00.00.0000,00.00.0000,Хpистиновка-ТЧ,Локомотивное депо Хpистиновка,Локомотивное депо Хpистиновка
520,31.12.9999,01.01.1000,Хpистиновка-ТЧ,,
521,00.00.0000,00.00.0000,Помощная-ВЧД,Вагонное депо Помощная,Вагонное депо Помощная
521,31.12.9999,01.01.1000,Помощная-ВЧД,,
522,00.00.0000,00.00.0000,Шевченко-ВЧД,Вагонное депо Шевченко,Вагонное депо Шевченко
522,31.12.9999,01.01.1000,Шевченко-ВЧД,,
523,00.00.0000,00.00.0000,Одесса-Застава 1-ВЧД,Вагонное депо Одесса-Застава 1,Вагонное депо Одесса-Застава 1
523,31.12.9999,01.01.1000,Одесса-Застава1-ВЧД,,
524,00.00.0000,00.00.0000,Одесса-Главный-ЛВЧД,Пасс.вагонное депо Одесса-Главный,Пассажирское вагонное депо Одесса-Главный
524,31.12.9999,01.01.1000,Одесса-Главный-ЛВЧД,,
525,00.00.0000,00.00.0000,Котовск-ВЧД,Вагонное депо Котовск,Вагонное депо Котовск
525,31.12.9999,01.01.1000,Котовск-ВЧД,,
526,00.00.0000,00.00.0000,* ДКМ Вапнярка,* Дор.контейнерные мастерские Вапнярка,* Дорожные контейнерные мастерские Вапнярка
526,31.12.9999,01.01.1000,*ДКМВапнярка,,
527,00.00.0000,00.00.0000,Фастов-ВЧРЕМ,Фастовский ваг.рем.уч.центра Укррефтранс,"Фастовский вагоноремонтный участок центра ""Укррефтранс"""
527,31.12.9999,01.01.1000,Фастов-ВЧРЕМ,,
528,31.12.9999,01.01.1000,,,
529,00.00.0000,00.00.0000,Жмеpинка-ВЧД,Вагонное депо Жмеpинка,Вагонное депо Жмеpинка
529,31.12.9999,01.01.1000,Жмеpинка-ВЧД,,
530,00.00.0000,00.00.0000,Казатин-ВЧД,Вагонное депо Казатин,Вагонное депо Казатин
530,31.12.9999,01.01.1000,Казатин-ВЧД,,
531,00.00.0000,00.00.0000,Киев-Пасс.-ЛВЧД,Киев-Пассажирский-ЛВЧД,Пассажирское вагонное депо Киев-Пассажирский
531,31.12.9999,01.01.1000,Киев-Пасс.-ЛВЧД,,
532,00.00.0000,00.00.0000,Даpница-ВЧД,Вагонное депо Даpница,Вагонное депо Даpница
532,31.12.9999,01.01.1000,Даpница-ВЧД,,
533,00.00.0000,00.00.0000,Коpостень-ВЧД,Вагонное депо Коpостень,Вагонное депо Коpостень
533,31.12.9999,01.01.1000,Коpостень-ВЧД,,
534,00.00.0000,00.00.0000,Гайвоpон-ВЧД,Гайвоpон-ВЧД,Гайвоpонский участок вагонного депо им. Т.Шевченко
534,31.12.9999,01.01.1000,Гайвоpон-ВЧД,,
535,00.00.0000,00.00.0000,Шепетовка-ВЧД,Вагонное депо Шепетовка,Вагонное депо Шепетовка
535,31.12.9999,01.01.1000,Шепетовка-ВЧД,,
537,00.00.0000,00.00.0000,Гребенка-ЛВЧД,Пассажирское вагонное депо Гребенка,Пассажирское вагонное депо Гребенка
537,31.12.9999,01.01.1000,Гребенка-ЛВЧД,,
