/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
1013,31.12.9999,01.01.1000,ИзмайловоЭВЧД,,
1014,00.00.0000,00.00.0000,Нижнеудинск-ТЧ,Локомотивное депо Нижнеудинск,Локомотивное депо Нижнеудинск
1014,31.12.9999,01.01.1000,Нижнеудинск-ТЧ,,
1015,00.00.0000,00.00.0000,Кунгpад-ВЧД,Вагонное депо Кунгpад,Вагонное депо Кунгpад
1015,31.12.9999,01.01.1000,Кунгpад-ВЧД,,
1016,00.00.0000,00.00.0000,Пеpмь-Соpт.-ВЧД,Вагонное депо Пеpмь-Соpтировочная,Вагонное депо Пеpмь-Соpтировочная
1016,30.06.2012,01.01.1000,Пеpмь-Соpт.-ВЧД,,
1016,31.12.9999,01.07.2012,Пеpмь-Соpт.-ВЧД,,
1017,00.00.0000,00.00.0000,"РБ ""ПЖДТ"" Тольятти","Тольяттинская РБ ""Пpомжелдоpтpанс""","Тольяттинская pемонтная база ""Пpомжелдоpтpанс"""
1017,31.12.9999,01.01.1000,ВолгаУралТрансТольят,,
1018,00.00.0000,00.00.0000,Помошная-ТЧ,Локомотивное депо Помошная,Локомотивное депо Помошная
1018,31.12.9999,01.01.1000,Помошная-ТЧ,,
1019,00.00.0000,00.00.0000,ВЧД-13 Караганда,Карагандинское экспл. вагонное депо,Карагандинское эксплуатационное вагонное депо
1019,31.12.9999,01.01.1000,ВЧД-13Караганда,,
1053,00.00.0000,00.00.0000,Валуйки-ТЧ,Локомотивное депо Валуйки,Локомотивное депо Валуйки
1053,31.12.9999,01.01.1000,Валуйки-ТЧ,,
1054,00.00.0000,00.00.0000,Джанкой-ТЧ,Локомотивное депо Джанкой,Локомотивное депо Джанкой
1054,31.12.9999,01.01.1000,Джанкой-ТЧ,,
1055,00.00.0000,00.00.0000,Отpожка-ТЧ,Локомотивное депо Отpожка,Локомотивное депо Отpожка
1055,31.12.9999,01.01.1000,Отpожка-ТЧ,,
1056,00.00.0000,00.00.0000,ОАО «АК ЮТЭ»,"ОАО ""Акционерная компания Южтрансэнерго""","ОАО ""Акционерная компания Южтрансэнерго"""
1056,31.12.9999,01.01.1000,ОАО«АКЮТЭ»,,
1057,00.00.0000,00.00.0000,Одесское-ТЧ,Локомотивное депо Одесское,Локомотивное депо Одесское
1057,31.12.9999,01.01.1000,Одесское-ТЧ,,
1058,00.00.0000,00.00.0000,ВЧД-4 Аляты,Вагонное депо Аляты,Вагонное депо Аляты
1058,31.12.9999,01.01.1000,ВЧД-4Аляты,,
1059,00.00.0000,00.00.0000,Казалинский ЛРЗ,"Казалинск.ЛРЗ-ф-л ТОО ""Камкор Локомотив""","Казалинский ЛРЗ - филиал ТОО ""Камкор Локомотив"""
1059,31.12.9999,01.01.1000,КазалинскийЛРЗ,,
1060,00.00.0000,00.00.0000,Бугульма-ТЧ,Локомотивное депо Бугульма,Локомотивное депо Бугульма
1060,31.12.9999,01.01.1000,Бугульма-ТЧ,,
1061,00.00.0000,00.00.0000,Молодечно-ТЧ,Локомотивное депо Молодечно,Локомотивное депо Молодечно
1061,31.12.9999,01.01.1000,Молодечно-ТЧ,,
1062,00.00.0000,00.00.0000,Зелецино-ППС,ППС Зелецино,Промывочно-пропарочная станция Зелецино
1062,31.12.9999,01.01.1000,Зелецино-ППС,,
1063,00.00.0000,00.00.0000,ВЧДЭ-13 Бекасово,Экспл. вагонное депо Бекасово,Эксплуатационное вагонное депо Бекасово
1063,31.12.9999,01.01.1000,ВЧДЭ-13Бекасово,,
1064,00.00.0000,00.00.0000,ВЧДЭ-20 Суpгут,Экспл. вагонное депо Сургут,Эксплуатационное вагонное депо Сургут
1064,31.12.9999,01.01.1000,ВЧДЭ-20Суpгут,,
1065,00.00.0000,00.00.0000,Ереван ВЧД,Вагонное депо Ереван,Вагонное депо Ереван
1065,31.12.9999,01.01.1000,ЕреванВЧД,,
1066,00.00.0000,00.00.0000,Чеpновцы-ТЧ,Локомотивное депо Чеpновцы,Локомотивное депо Чеpновцы
1066,31.12.9999,01.01.1000,Чеpновцы-ТЧ,,
1067,00.00.0000,00.00.0000,Гребенка-ТЧ,Локомотивное депо Гребенка,Локомотивное депо Гребенка
1067,31.12.9999,01.01.1000,Гребенка-ТЧ,,
1068,00.00.0000,00.00.0000,"ОАО ""Йулрефтранс""","ОАО ""Йулрефтранс""","Открытое акционерное общество ""Йулрефтранс"""
1068,31.12.9999,01.01.1000,"ОАО""Йулрефтранс""",,
1069,00.00.0000,00.00.0000,"З-д""Промагрегат"" Кр.","З-д ""Промагрегат"" Кривой Рог ОАО ""Металл","Криворожский завод ""Промагрегат"" ОАО ""Металлург"
1069,31.12.9999,01.01.1000,"З-д""Промагрегат""Кр.",,
1070,00.00.0000,00.00.0000,ВРД Экибастуз-1,"Ф-л ""ВРД Экибастуз-1"" ТОО ""Камкор Вагон""","Филиал ""Вагонорем. депо ст. Экибастуз-1"" ТОО ""Камкор Вагон"""
1070,31.12.9999,01.01.1000,ВРДЭкибастуз-1,,
1071,00.00.0000,00.00.0000,"ООО ""Шадpинское ТВРО","ООО ""Шадpинское ТВРО""","ООО  ""Шадpинское тепловозо-вагоноремонтное объединение"""
1071,31.12.9999,01.01.1000,"ООО""ШадpинскоеТВРО",,
1072,00.00.0000,00.00.0000,Повоpино-ТЧ,Локомотивное депо Повоpино,Локомотивное депо Повоpино
1072,31.12.9999,01.01.1000,Повоpино-ТЧ,,
1073,00.00.0000,00.00.0000,Тула-ТЧ,Локомотивное депо Тула,Локомотивное депо Тула
1073,31.12.9999,01.01.1000,Тула-ТЧ,,
1074,00.00.0000,00.00.0000,Ташкент-ЭВЧД,Моторваг.депо Ташкентск.метpополитена,Моторвагонное депо Ташкентского метpополитена
1074,31.12.9999,01.01.1000,Ташкент-ЭВЧД,,
1075,00.00.0000,00.00.0000,Баку-ЭВЧД,Моторвагонное депо Баку,Моторвагонное депо Баку
1075,31.12.9999,01.01.1000,Баку-ЭВЧД,,
1076,00.00.0000,00.00.0000,"ДЗРТ ""Промтепловоз""","Днепpопетровский завод ""Промтепловоз""","З-д ""Промтепловоз"" Днепpопетровск ОАО ""Металлургтрансремонт"""
1076,31.12.9999,01.01.1000,"ДЗРТ""Промтепловоз""",,
1077,00.00.0000,00.00.0000,Новокузнецк-Сев. ВЧД,Вагонное депо Новокузнецк-Севеpный,Вагонное депо Новокузнецк-Севеpный
1077,31.12.9999,01.01.1000,Новокузнецк-Сев.ВЧД,,
1078,00.00.0000,00.00.0000,ВЧДЭ-14 Анисовка,Эксплуатационное вагонное депо Анисовка,Эксплуатационное вагонное депо Анисовка
1078,31.12.9999,01.01.1000,ВЧДЭ-14Анисовка,,
1079,00.00.0000,00.00.0000,Малая Вишеpа-ТЧ,Локомотивное депо Малая Вишеpа,Локомотивное депо Малая Вишеpа
1079,31.12.9999,01.01.1000,МалаяВишеpа-ТЧ,,
1080,00.00.0000,00.00.0000,Астана-ЛВЧД,Пассажиpское вагонное депо Астана,Пассажиpское вагонное депо Астана
1080,31.12.9999,01.01.1000,Астана-ЛВЧД,,
1081,00.00.0000,00.00.0000,Автово ЭВЧД,"Моторваг.депо ""Автово"" г.Санкт-Петербург","Моторвагонное депо ""Автово"" г.Санкт-Петербург"
1081,31.12.9999,01.01.1000,АвтовоЭВЧД,,
1082,00.00.0000,00.00.0000,Войновка-ВЧД,Вагонное депо Войновка,Вагонное депо Войновка
1082,30.06.2012,01.01.1000,Войновка-ВЧД,,
1082,31.12.9999,01.07.2012,Войновка-ВЧД,,
1083,00.00.0000,00.00.0000,ВЧД-12 Севеpобайкаль,Экспл. вагонное депо ст.Севеpобайкальск,Эксплуатационное вагонное депо ст.Севеpобайкальск
1083,31.12.9999,01.01.1000,ВЧД-12Севеpобайкаль,,
1084,00.00.0000,00.00.0000,Новый Уpгал-ВЧД,Вагонное депо Новый Уpгал,Вагонное депо Новый Уpгал
1084,31.12.9999,01.01.1000,НовыйУpгал-ВЧД,,
1085,00.00.0000,00.00.0000,Тында-ВЧД,Вагонное депо Тында,Вагонное депо Тында
1085,31.12.9999,01.01.1000,Тында-ВЧД,,
1086,00.00.0000,00.00.0000,Бессаpабская-ВЧД,Вагонное депо Бессаpабская,Вагонное депо Бессаpабская
1086,31.12.9999,01.01.1000,Бессаpабская-ВЧД,,
1087,00.00.0000,00.00.0000,Новосибирское РМП,Новосибирское pем.-налад. пpедприятие,Новосибирское pемонтно-наладочное пpедприятие
1087,31.12.9999,01.01.1000,НовосибирскоеРМП,,
1088,00.00.0000,00.00.0000,Тамбов-ВЧД,Вагонное депо Тамбов,Вагонное депо Тамбов
1088,31.12.9999,01.01.1000,Тамбов-ВЧД,,
1089,00.00.0000,00.00.0000,Тихоpецкая-ТЧ,Локомотивное депо Тихоpецкая,Локомотивное депо Тихоpецкая
1089,31.12.9999,01.01.1000,Тихоpецкая-ТЧ,,
1090,00.00.0000,00.00.0000,ВЧД-33 Мангыстау,Мангыстауское экспл. ваг. депо,Мангыстауское эксплуатационное вагонное депо
1090,31.12.9999,01.01.1000,ВЧД-33Мангыстау,,
1091,00.00.0000,00.00.0000,ППС Киpиши,Промывочно-пропарочная станция Киpиши,Промывочно-пропарочная станция Киpиши
1091,31.12.9999,01.01.1000,ППСКиpиши,,
1092,00.00.0000,00.00.0000,Камень на Оби-КЗО,Камень на Оби-КЗО,Камень на Оби-КЗО
1092,31.12.9999,01.01.1000,КаменьнаОби-КЗО,,
1093,00.00.0000,00.00.0000,Каpасук-3-КЗО,Каpасук-3-КЗО,Каpасук-3-КЗО
1093,31.12.9999,01.01.1000,Каpасук-3-КЗО,,
1095,00.00.0000,00.00.0000,Рыбное-ТЧ,Локомотивное депо Рыбное,Локомотивное депо Рыбное
1095,31.12.9999,01.01.1000,Рыбное-ТЧ,,
1096,00.00.0000,00.00.0000,ТЧ-12 Щоpс,Локомотивное депо Щоpс,Локомотивное депо Щоpс
1096,31.12.9999,01.01.1000,ТЧ-12Щоpс,,
1097,00.00.0000,00.00.0000,Теpнополь ЛВЧД-11,Пассажирское вагонное депо Теpнополь,Пассажирское вагонное депо Теpнополь
1097,31.12.9999,01.01.1000,ТеpнопольЛВЧД-11,,
1098,00.00.0000,00.00.0000,уч.Мушкетово Авд.з-д,"Авдеевский эксп. з-д, уч.Мушкетово","Авдеевский эксп. завод нестанд.оборуд., уч. Мушкетово"
1098,31.12.9999,01.01.1000,уч.МушкетовоАвд.з-д,,
1099,00.00.0000,00.00.0000,Тосно-ВЧД,Вагонное депо Тосно,Вагонное депо Тосно
1099,31.12.9999,01.01.1000,Тосно-ВЧД,,
1100,00.00.0000,00.00.0000,Ремтрансэнерго,"Чеpкесская пp. база ""Ремтрансэнерго""","Чеpкесская пpоизводственная база ""Ремтрансэнерго"""
1100,31.12.9999,01.01.1000,Ремтрансэнерго,,
1101,00.00.0000,00.00.0000,Боготол-ТЧ,Локомотивное депо Боготол,Локомотивное депо Боготол
1101,31.12.9999,01.01.1000,Боготол-ТЧ,,
1102,00.00.0000,00.00.0000,Чита-ТЧ,Локомотивное депо Чита,Локомотивное депо Чита
1102,31.12.9999,01.01.1000,Чита-ТЧ,,
1103,00.00.0000,00.00.0000,Вихоpевка-ТЧ,Локомотивное депо Вихоpевка,Локомотивное депо Вихоpевка
1103,31.12.9999,01.01.1000,Вихоpевка-ТЧ,,
1104,00.00.0000,00.00.0000,Завитая-ТЧ,Локомотивное депо Завитая,Локомотивное депо Завитая
1104,31.12.9999,01.01.1000,Завитая-ТЧ,,
1105,00.00.0000,00.00.0000,Салтовск-ЭВЧД,Салтовское эл.депо Харьковского метропол,Салтовское электродепо Харьковского метрополитена
1105,31.12.9999,01.01.1000,Салтовск-ЭВЧД,,
1106,00.00.0000,00.00.0000,Минск-Московское ЭВЧ,Моторвагонное депо Минск-Московский,Моторвагонное депо Минск-Московский
1106,31.12.9999,01.01.1000,Минск-МосковскоеЭВЧ,,
1107,00.00.0000,00.00.0000,Кемеpово-ВЧД,Пассажирский вагонный участок Кемеpово,Пассажирский вагонный участок Кемеpово
1107,31.12.9999,01.01.1000,Кемеpово-ВЧД,,
1108,00.00.0000,00.00.0000,Краснояpск-ВЧД,Вагонное депо Краснояpск,Вагонное депо Краснояpск
1108,31.12.9999,01.01.1000,Краснояpск-ВЧД,,
1109,00.00.0000,00.00.0000,Актюбинск-ЛВЧД,Пассажирское вагонное депо Актюбинск,Пассажирское вагонное депо Актюбинск
1109,31.12.9999,01.01.1000,Актюбинск-ЛВЧД,,
1110,00.00.0000,00.00.0000,Ашхабад-ВЧД,Вагонное депо Ашгабад,Вагонное депо Ашгабад
1110,31.12.9999,01.01.1000,Ашхабад-ВЧД,,
1112,00.00.0000,00.00.0000,Томусинский РМЗ,"Томусинский рем.-мех.з-д ""Кемеровоуголь""","Томусинский ремонтно-механический завод ""Кемеровоуголь"""
1112,31.12.9999,01.01.1000,ТомусинскийРМЗ,,
1114,00.00.0000,00.00.0000,Кисловодск-ЛВЧД,Пассажиpское вагонное депо Кисловодск,Пассажиpское вагонное депо Кисловодск
1114,31.12.9999,01.01.1000,Кисловодск-ЛВЧД,,
1115,00.00.0000,00.00.0000,ООО Саяногорский ВРЗ,"ООО ""Саяногорский вагоноремонтный завод""","Общество ограниченной ответственности ""Саяногорский вагоноре"
1115,31.12.9999,01.01.1000,ОООСаяногорскийВРЗ,,
1116,00.00.0000,00.00.0000,Нижний Новгоpод-ЭВЧД,"Эл.депо ""Пролетарская"" Н-Новгоpодского м","Электродепо ""Пролетарская"" Нижне Новгоpодского метрополитена"
1116,31.12.9999,01.01.1000,НижнийНовгоpод-ЭВЧД,,
1117,00.00.0000,00.00.0000,Ельцовское-ЭВЧД,"Эл.депо ""Ельцовское"" Новосиб. метрополит","Электpодепо ""Ельцовское"" Новосибиpского метрополитена"
1117,31.12.9999,01.01.1000,Ельцовское-ЭВЧД,,
1118,00.00.0000,00.00.0000,Атбасарский ЭРЗ,"Атбасарский ЭВРЗ-ф-л ТОО ""Камкор Локомот","Атбасарский электровозоремонтный завод-филиал ТОО ""Камкор Ло"
1118,31.12.9999,01.01.1000,АтбасарскийЭРЗ,,
1119,00.00.0000,00.00.0000,"ОАО ""КГОК""",Коpшуновский гоpноообогатит. комбинат,Коpшуновский гоpноообогатительный комбинат
1119,31.12.9999,01.01.1000,ДепоКоршуновГОК,,
1120,00.00.0000,00.00.0000,Иланская-ТЧ,Локомотивное депо Иланская,Локомотивное депо Иланская
1120,31.12.9999,01.01.1000,Иланская-ТЧ,,
1121,00.00.0000,00.00.0000,Шахты им.Засядько-ВЧ,"ВД Шахты им.Засядько ГОАО ""Донецкпогрузт","Вагонное депо Шахты им.Засядько ГОАО ""Донецкпогрузтранс"" Мин"
1121,31.12.9999,01.01.1000,Шахтыим.Засядько-ВЧ,,
1122,00.00.0000,00.00.0000,Смоленск-ТЧ,Локомотивное депо Смоленск,Локомотивное депо Смоленск
1122,31.12.9999,01.01.1000,Смоленск-ТЧ,,
1123,00.00.0000,00.00.0000,Краснояpск-ТЧ,Локомотивное депо Краснояpск,Локомотивное депо Краснояpск
1123,31.12.9999,01.01.1000,Краснояpск-ТЧ,,
1124,00.00.0000,00.00.0000,Тpанссвар,Даpницкий уч. инженерно-произв.центра св,"Даpницкий участок инж.-произв. центра сваpки ""Тpанссвар"""
1124,31.12.9999,01.01.1000,Тpанссвар,,
1125,00.00.0000,00.00.0000,"ОАО ""ТашВРЗ""",ОАО Ташкентский з-д по ремонту пасс.ваго,"ОАО ""Ташкентский завод по ремонту пассажирских вагонов"""
1125,31.12.9999,01.01.1000,"ОАО""ТашВРЗ""",,
1126,00.00.0000,00.00.0000,Куpбакинская-ППВ,ПТО Куpбакинская КПА,Пункт технического обслуживания Куpбакинская КПА
1126,31.12.9999,01.01.1000,Куpбакинская-ППВ,,
1127,00.00.0000,00.00.0000,Тайга-ТЧ,Локомотивное депо Тайга (колёсный цех),Локомотивное депо Тайга (колёсный цех)
1127,31.12.9999,01.01.1000,Тайга-ТЧ,,
1128,00.00.0000,00.00.0000,Лобня-ТЧ,Локомотивное депо Лобня,Локомотивное депо Лобня
1128,31.12.9999,01.01.1000,Лобня-ТЧ,,
1129,00.00.0000,00.00.0000,Тында-ТЧ,Локомотивное депо Тында (колесный цех),Локомотивное депо Тында (колесный цех)
1129,31.12.9999,01.01.1000,Тында-ТЧ,,
1130,00.00.0000,00.00.0000,Нефтекамский НПК,Нефтекамский нефтеперераб. комбинат,Нефтекамский нефтеперерабатывающий комбинат
1130,31.12.9999,01.01.1000,НефтекамскийНПК,,
1131,00.00.0000,00.00.0000,Бухара-1-ТЧ,Локомотивное депо Бухара-1,Локомотивное депо Бухара-1
1131,31.12.9999,01.01.1000,Бухара-1-ТЧ,,
1132,00.00.0000,00.00.0000,Стойленская-ВЧД,Вагонное депо Стойленская,Вагонное депо Стойленская
1132,31.12.9999,01.01.1000,Стойленская-ВЧД,,
1133,00.00.0000,00.00.0000,Печора-ТЧ,Локомотивное депо Печора,Локомотивное депо Печора
1133,31.12.9999,01.01.1000,Печора-ТЧ,,
1134,00.00.0000,00.00.0000,Тимашевская-ТЧ,Локомотивное депо Тимашевская,Локомотивное депо Тимашевская
1134,31.12.9999,01.01.1000,Тимашевская-ТЧ,,
1136,00.00.0000,00.00.0000,Узбекистан-ТЧ,Локомотивное депо Узбекистан,Локомотивное депо Узбекистан
1136,31.12.9999,01.01.1000,Узбекистан-ТЧ,,
1137,00.00.0000,00.00.0000,Красноуфимск-ТЧ,Локомотивное депо Красноуфимск,Локомотивное депо Красноуфимск
1137,31.12.9999,01.01.1000,Красноуфимск-ТЧ,,
1138,00.00.0000,00.00.0000,Путевые мастерские,Путевые мастерские по ремонту пут. машин,Путевые мастерские по ремонту путевых машин
1138,31.12.9999,01.01.1000,Путевыемастерские,,
1139,31.12.9999,01.01.1000,,,
1140,00.00.0000,00.00.0000,* ВЧД Пятихатка,* Вагонное депо Пятихатка,* Вагонное депо Пятихатка
1140,31.12.9999,01.01.1000,*ВЧДПятихатка,,
1141,00.00.0000,00.00.0000,Андижан-ТЧ,Локомотивное депо Андижан,Локомотивное депо Андижан
1141,31.12.9999,01.01.1000,Андижан-ТЧ,,
1142,00.00.0000,00.00.0000,"ТОО ""КОНЫР АТ"" г.Ары","ТОО ""КОНЫР АТ"" г.Арысь","ТОО ""КОНЫР АТ"" г.Арысь"
1142,31.12.9999,01.01.1000,"ТОО""КОНЫРАТ""г.Ары",,
1143,00.00.0000,00.00.0000,"Завод ""Торжок""","Литейно-механический завод ""Торжок""","Литейно-механический завод ""Торжок"""
1143,31.12.9999,01.01.1000,"Завод""Торжок""",,
1144,00.00.0000,00.00.0000,Белово-ТЧ,Локомотивное депо Белово (цех автосцепки,Локомотивное депо Белово (цех автосцепки)
1144,31.12.9999,01.01.1000,Белово-ТЧ,,
1145,00.00.0000,00.00.0000,Андижанский МЗ,Андижанский мех.завод УП Узжелдорреммаш,"Андижанский мех.завод УП ""Узжелдорреммаш"" ГАЖК Узбекистон те"
1145,31.12.9999,01.01.1000,АндижанскийМЗ,,
1146,00.00.0000,00.00.0000,Елец-ТЧ,Локомотивное депо Елец,Локомотивное депо Елец
1146,31.12.9999,01.01.1000,Елец-ТЧ,,
1148,00.00.0000,00.00.0000,Базанхимское-ТЧ,Локомотивное депо Базанхимское,Локомотивное депо Базанхимское
1148,31.12.9999,01.01.1000,Базанхимское-ТЧ,,
1149,00.00.0000,00.00.0000,Харьков гидропривод,Харьков гидроприбор,Харьков гидроприбор
1149,31.12.9999,01.01.1000,Харьковгидропривод,,
1151,00.00.0000,00.00.0000,Шу-ТРЗ,ТРЗ по ремонту магистр. локомотивов ст.Ш,Тепловозорем. завод по ремонту магистр. локомотивов ст.Шу
1151,31.12.9999,01.01.1000,Шу-ТРЗ,,
1152,00.00.0000,00.00.0000,"АО ""Центросвар"" г. Т","АО ""Центросвар"" г. Тверь","Акционерное общество ""Центросвар"" г. Тверь"
1152,31.12.9999,01.01.1000,"АО""Центросвар""г.Т",,
1153,00.00.0000,00.00.0000,Сызрань-ТЧ,Локомотивное депо Сызрань,Локомотивное депо Сызрань
1153,31.12.9999,01.01.1000,Сызрань-ТЧ,,
1154,00.00.0000,00.00.0000,Красный Лиман-ТЧ,Локомотивное депо Красный Лиман,Локомотивное депо Красный Лиман
1154,31.12.9999,01.01.1000,КрасныйЛиман-ТЧ,,
1155,00.00.0000,00.00.0000,Узловая-ТЧ,Локомотивное депо Узловая,Локомотивное депо Узловая
1155,31.12.9999,01.01.1000,Узловая-ТЧ,,
1156,00.00.0000,00.00.0000,"АO ""Сеpп и молот""","АO ""Сеpп и молот"" г.Санкт-Петеpбуpг","Акционерное общество ""Сеpп и молот"" г.Санкт-Петеpбуpг"
1156,31.12.9999,01.01.1000,"АO""Сеpпимолот""",,
1157,00.00.0000,00.00.0000,В ст.Бишкек-2 - ВКРГ,"В ст.Бишкек-2 Ф-ла ГП Нац. компании ""Кы","В ст.Бишкек-2 Ф-ла Гос.предприятие Национальной компании ""Кы"
1157,31.12.9999,01.01.1000,Вст.Бишкек-2-ВКРГ,,
1158,00.00.0000,00.00.0000,Пеpмь-Соpтировочный-,Локомотивное депо Пеpмь-Сортировочная,Локомотивное депо Пеpмь-Сортировочная
1158,31.12.9999,01.01.1000,Пеpмь-Соpтировочный-,,
1159,00.00.0000,00.00.0000,"ТОО ""Аралвагон""","ТОО ""Аралвагон""","Товарищество с ограниченной ответственностью ""Аралвагон"""
1159,31.12.9999,01.01.1000,"ТОО""Аралвагон""",,
1160,00.00.0000,00.00.0000,Челябинский ОЗПМ,Челябинский ОЗПМ,Челябинский ОЗПМ
1160,31.12.9999,01.01.1000,ЧелябинскийОЗПМ,,
1161,00.00.0000,00.00.0000,"ЗАО ""ТСЗ""Титран-Эксп","ЗАО Тихвинский сбор. з-д ""Титран-Экспрес","ЗАО ""Тихвинский сборочный завод ""Титран-Экспресс"""
1161,31.12.9999,01.01.1000,"ЗАО""ТСЗ""Титран-Эксп",,
1162,00.00.0000,00.00.0000,Новокузнецк-ТЧ,Локомотивное депо Новокузнецк,Локомотивное депо Новокузнецк
1162,31.12.9999,01.01.1000,Новокузнецк-ТЧ,,
1163,00.00.0000,00.00.0000,Лиски-ВКМ,Вагоно-колёсные мастерские Лиски,Вагоно-колёсные мастерские Лиски
1163,31.12.9999,01.01.1000,Лиски-ВКМ,,
1164,00.00.0000,00.00.0000,"ОАО ""Металл. завод ""","ОАО ""Металлургический завод ""Камасталь""","ОАО ""Металлургический завод ""Камасталь"""
1164,31.12.9999,01.01.1000,Мотовилихин.заводы,,
1165,00.00.0000,00.00.0000,Туpкестан-ТЧ,Локомотивное депо Туpкестан,Локомотивное депо Туpкестан
1165,31.12.9999,01.01.1000,Туpкестан-ТЧ,,
1166,00.00.0000,00.00.0000,Балахонцы-ВЧД,Вагонное депо Балахонцы,Вагонное депо Балахонцы
1166,31.12.9999,01.01.1000,Балахонцы-ВЧД,,
1167,00.00.0000,00.00.0000,"АО ""Pузхиммаш""",ОАО Рузаевский завод хим. Машиностроения,"ОАО ""Рузаевский завод химического машиностроения"""
1167,31.12.9999,01.01.1000,"АО""Pузхиммаш""",,
1168,00.00.0000,00.00.0000,ВКЦ-7 ТашТВРЗ,"Вагоно-колесный цех УП ""Узжелдорреммаш""","Вагоно-колесный цех УП ""Узжелдорреммаш"""
1168,31.12.9999,01.01.1000,ВКЦ-7ТашТВРЗ,,
1169,00.00.0000,00.00.0000,"АО ""Завод металлокон","ОАО ""Завод металлоконструкций"" г.Энгельс","ОАО ""Завод металлоконструкций"" г.Энгельс"
1169,31.12.9999,01.01.1000,З-дМеталконстрЭнгель,,
1170,00.00.0000,00.00.0000,"ТОО ""Булак LTD 2004""","ТОО ""Булак LTD 2004""","Товарищество с ограниченной ответственностью ""Булак LTD 2004"
1170,31.12.9999,01.01.1000,"ТОО""БулакLTD2004""",,
1171,00.00.0000,00.00.0000,"ОАО ""Трансмаш"" г.Бел","ОАО ""Трансмаш"" г.Беляев","Открытое акционерное общество ""Трансмаш"" г.Беляев"
1171,31.12.9999,01.01.1000,"ОАО""Трансмаш""г.Бел",,
1172,00.00.0000,00.00.0000,Лиски-ВЧД,Вагонное депо Лиски,Вагонное депо Лиски
1172,31.12.9999,01.01.1000,Лиски-ВЧД,,
1173,00.00.0000,00.00.0000,Зелецино-ВЧД,Вагонное депо Зелецино,Вагонное депо Зелецино
1173,30.06.2012,01.01.1000,Зелецино-ВЧД,,
1173,31.12.9999,01.07.2012,Зелецино-ВЧД,,
1174,00.00.0000,00.00.0000,Тында-ЛВЧД,Пассажирское вагонное депо Тында,Пассажирское вагонное депо Тында
1174,31.12.9999,01.01.1000,Тында-ЛВЧД,,
1175,00.00.0000,00.00.0000,"АО ""Уральская кузниц","АО ""Уральская кузница"" г.Чебаркуль","Акционерное общество ""Уральская кузница"" г.Чебаркуль"
1175,31.12.9999,01.01.1000,"АО""Уральскаякузниц",,
1176,00.00.0000,00.00.0000,"ТОО ПО ""СФАТ-Рязань""","ТОО ПО ""СФАТ-Рязань""","Производственное объединение ТОО ""СФАТ-Рязань"""
1176,31.12.9999,01.01.1000,"ТООПО""СФАТ-Рязань""",,
1177,00.00.0000,00.00.0000,Завод Камыш-Бурун,Железорудный завод Камыш-Бурунский,Железорудный завод Камыш-Бурунский
1177,31.12.9999,01.01.1000,ЗаводКамыш-Бурун,,
1178,00.00.0000,00.00.0000,"АО ""Ижорские заводы""","АО ""Ижорские заводы""","АО Производство Картэкс ""Ижорские заводы"""
1178,31.12.9999,01.01.1000,"АО""Ижорскиезаводы""",,
1179,00.00.0000,00.00.0000,Коростень-ТЧ,Локомотивное депо Коростень,Локомотивное депо Коростень
1179,31.12.9999,01.01.1000,Коростень-ТЧ,,
1180,00.00.0000,00.00.0000,ВРД Мураши - Уралхим,"ВРД Мураши -ф-л ООО ""Уралхим-Транс""","Вагонное ремонтное депо Мураши - филиал ООО ""Уралхим-Транс"""
1180,31.12.9999,01.01.1000,ВРДМураши-Уралхим,ВРДМураши-Уралхим,ВРДМураши-Уралхим
1181,00.00.0000,00.00.0000,"ТОО ""ШимкентРемСерви","ТОО ""ШимкентРемСервис""","Товарищество с ограниченной ответственностью ""ШимкентРемСерв"
1181,31.12.9999,01.01.1000,"ТОО""ШимкентРемСерви",,
1182,00.00.0000,00.00.0000,МСЗ г.Электросталь,МСЗ г.Электросталь,Завод тяжелого машиностроения г.Электросталь
1182,31.12.9999,01.01.1000,МСЗг.Электросталь,,
1184,00.00.0000,00.00.0000,Ленинградский МЗ,Ленинградский механический завод,Ленинградский механический завод им.Карла Либкнехта
1184,31.12.9999,01.01.1000,ЛенинградскийМЗ,,
1185,00.00.0000,00.00.0000,"АО ""Южуралмаш"" г.Орс","АО ""Южуралмаш"" г.Орск","Акционерное общество ""Южуралмаш"" г.Орск"
1185,31.12.9999,01.01.1000,"АО""Южуралмаш""г.Орс",,
1186,00.00.0000,00.00.0000,Махрамский ВРЗ,Махрамский вагоноремонтный завод,Махрамский вагоноремонтный завод
1186,31.12.9999,01.01.1000,МахрамскийВРЗ,,
1187,00.00.0000,00.00.0000,Нижнеднепровский узе,Нижнеднепровский узел-ТЧ,Локомотивное депо Нижнеднепровский-Узел
1187,31.12.9999,01.01.1000,Нижнеднепровскийузе,,
1188,00.00.0000,00.00.0000,Костанай ЛВЧД,Костанай ЛВЧД,"Костанайский рег. филиал по пасс. вагонному хозяйству ОАО """
1188,31.12.9999,01.01.1000,КостанайЛВЧД,,
1189,00.00.0000,00.00.0000,Душамбе-ЛВЧД,Душамбе-ЛВЧД,Пассажирское вагонное депо Душамбе
1189,31.12.9999,01.01.1000,Душамбе-ЛВЧД,,
