/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
42808,СО.ДНП,"С.ОБ""ДНИПРО""","САДОВОЕ ОБЩЕСТВО ""ДНИПРО"""
42809,АВТОСТ,АВТОСТАНЦИЯ,АВТОСТАНЦИЯ
42810,ТЕРЕШК,ТЕРЕШКОВКА,ТЕРЕШКОВКА
42811,ОП 7КМ,ОП  7 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  7 КМ
42820,КАГМЛК,КАГАМЛЫКСКАЯ,КАГАМЛЫКСКАЯ
42830,ГРЕБЕН,ГРЕБЕНКА,ГРЕБЕНКА
42831,ОП136К,ОП 136 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 136 КМ
42832,БЕСЕДВ,БЕСЕДОВЩИНА,БЕСЕДОВЩИНА
42833,БОЯРСК,БОЯРСКИЙ,БОЯРСКИЙ
42834,ОП147К,ОП 147 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 147 КМ
42835,БАЗА,БАЗА,БАЗА
42836,ТАРАСВ,ТАРАСОВКА,ТАРАСОВКА
42837,ОП137К,ОП 137 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 137 КМ
42838,ОП798К,ОП 798 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 798 КМ
42840,ПИРЯТН,ПИРЯТИН,ПИРЯТИН
42841,СОСИНВ,СОСИНОВКА,СОСИНОВКА
42842,ОП773К,ОП 773 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 773 КМ
42843,ГРАБРВ,ГРАБАРОВКА,ГРАБАРОВКА
42844,ОП780К,ОП 780 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 780 КМ
42850,ЛИНОВЦ,ЛИНОВИЦЫ,ЛИНОВИЦЫ
42851,ОП746К,ОП 746 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 746 КМ
42852,ОП750К,ОП 750 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 750 КМ
42860,ГРАБРВ,ГРАБАРОВКА,ГРАБАРОВКА
42870,ЛОСИНВ,ЛОСИНОВКА,ЛОСИНОВКА
42871,КРАПИВ,КРАПИВНАЯ,КРАПИВНАЯ
42872,ОП27КМ,ОП 27 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 27 КМ
42873,ЯХНОВК,ЯХНОВКА,ЯХНОВКА
42875,ХВЫЛЕВ,ХВЫЛЕВКА,ХВЫЛЕВКА
42880,ГАЛКА,ГАЛКА,ГАЛКА
42881,ОП51КМ,ОП 51 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 51 КМ
42882,ЗВЕЗДЛ,ЗВЕЗДИЛОВКА,ЗВЕЗДИЛОВКА
42884,ОП58КМ,ОП 58 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 58 КМ
42900,ПРИЛУК,ПРИЛУКИ,ПРИЛУКИ
42901,ОП738К,ОП 738 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 738 КМ
42902,ЗАЕЗД,ЗАЕЗД,ЗАЕЗД
42903,ОП732К,ОП 732 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 732 КМ
42904,ОП729К,ОП 729 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 729 КМ
42905,КОЛОМЦ,КОЛОМЕЙЦЕВО,КОЛОМЕЙЦЕВО
42906,ОП720К,ОП 720 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 720 КМ
42907,ОП727К,ОП 727 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 727 КМ
42910,АВГСТВ,АВГУСТОВСКИЙ,АВГУСТОВСКИЙ
42920,ИЧНЯ,ИЧНЯ,ИЧНЯ
42921,ОП702К,ОП 702 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 702 КМ
42922,РОЖНОВ,РОЖНОВКА,РОЖНОВКА
42923,БИЛЬМЧ,БИЛЬМАЧЕВКА,БИЛЬМАЧЕВКА
42931,ОП684К,ОП 684 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 684 КМ
42932,ВАРВРВ,ВАРВАРОВСКИЙ,ВАРВАРОВСКИЙ
42933,ОСИНОВ,ОСИНОВКА,ОСИНОВКА
42934,ГРИШКИ,ГРИШКИ,ГРИШКИ
42935,ОП668К,ОП 668 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 668 КМ
42950,ЛАЗОРК,ЛАЗОРКИ,ЛАЗОРКИ
42951,ИВАНВК,ИВАНОВКА,ИВАНОВКА
42952,П155КМ,ПОСТ 155 КМ,ПОСТ 155 КМ
42960,ВИЛЫ,ВИЛЫ,ВИЛЫ
42961,СТРНСК,СТРОНСКОЕ,СТРОНСКОЕ
42962,ОП167К,ОП 167 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 167 КМ
42963,П172КМ,ПОСТ 172 КМ,ПОСТ 172 КМ
42970,ЛУБНЫ,ЛУБНЫ,ЛУБНЫ
42971,ТЕРНЫ,ТЕРНЫ,ТЕРНЫ
42980,СОЛОНЦ,СОЛОНИЦКАЯ,СОЛОНИЦКАЯ
42981,П190КМ,ПОСТ 190 КМ,ПОСТ 190 КМ
42990,ТАРНВЩ,ТАРНАВЩИНА,ТАРНАВЩИНА
42991,СТАДНЯ,СТАДНЯ,СТАДНЯ
43000,КУП-СР,КУПЯНСК-СОРТ,КУПЯНСК-СОРТИРОВОЧНЫЙ
43001,БРИГАД,БРИГАДНЫЙ,БРИГАДНЫЙ
43002,ОП154К,ОП 154 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 154 КМ
43003,П152КМ,ПОСТ 152 КМ,ПОСТ 152 КМ
43004,ЭСТАКД,ЭСТАКАДНЫЙ,ЭСТАКАДНЫЙ
43005,ОП823К,ОП 823 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 823 КМ
43006,ОЛИВИН,ОЛИВИНО,ОЛИВИНО
43010,КУП-УЗ,КУПЯНСК-УЗЛ,КУПЯНСК-УЗЛОВОЙ
43011,БП134К,БП 134 КМ,БЛОК-ПОСТ 134 КМ
43012,ОСИНОВ,ОСИНОВО,ОСИНОВО
43013,ОП130К,ОП 130 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 130 КМ
43014,ПРОКОФ,ПРОКОФЬЕВКА,ПРОКОФЬЕВКА
43015,ОСАДЬК,ОСАДЬКОВКА,ОСАДЬКОВКА
43016,КАРЬЕР,КАРЬЕР,КАРЬЕР
43017,ОП127К,ОП 127 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 127 КМ
43030,КУРИЛВ,КУРИЛОВКА,КУРИЛОВКА
43031,ЛИТЕЙН,ЛИТЕЙНЫЙ,ЛИТЕЙНЫЙ
43032,ОП831К,ОП 831 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 831 КМ
43033,ПЕСЧАН,ПЕСЧАНОЕ,ПЕСЧАНОЕ
43034,ОП838К,ОП 838 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 838 КМ
43035,ШАПАРВ,ШАПАРИВКА,ШАПАРИВКА
43039,СОЛЯНК,СОЛЯНИКОВКА,СОЛЯНИКОВКА
43040,СТАРВР,СТАРОВЕРОВКА,СТАРОВЕРОВКА
43041,ТИШКИВ,ТИШКИВСКИЙ,ТИШКИВСКИЙ
43042,ГРОЗА,ГРОЗА,ГРОЗА
43043,ПРВМ-Ю,ПЕРВОМАЙС-ЮЖ,ПЕРВОМАЙСКОЕ-ЮЖНОЕ
43050,ШЕВЧ-Ю,ШЕВЧЕНКО-ЮЖН,ШЕВЧЕНКО-ЮЖНОЕ
43051,ОП86КМ,ОП 86 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 86 КМ
43052,БУРЛУЦ,БУРЛУЦКИЙ,БУРЛУЦКИЙ
43053,ПРОЛСН,ПРОЛЕСНЫЙ,ПРОЛЕСНЫЙ
43060,ГРАКОВ,ГРАКОВО,ГРАКОВО
43061,ЗЕЛ.РЩ,ЗЕЛЕНАЯ РОЩА,ЗЕЛЕНАЯ РОЩА
43062,КОВЫЛН,КОВЫЛЬНЫЙ,КОВЫЛЬНЫЙ
43070,КОРОБЧ,КОРОБОЧКИНО,КОРОБОЧКИНО
43071,МАЛИНВ,МАЛИНОВКА,МАЛИНОВКА
43072,ОП20КМ,ОП 20 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 20 КМ
43073,СКРИПА,СКРИПАИ,СКРИПАИ
43074,ОП 7КМ,ОП  7 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  7 КМ
43075,П.57КМ,ПОСТ 57 КМ,ПОСТ 57 КМ
43080,ЧУГУЕВ,ЧУГУЕВ,ЧУГУЕВ
43081,ДАЧИ,ДАЧИ,ДАЧИ
43082,П.50КМ,ПОСТ 50 КМ,ПОСТ 50 КМ
43090,ЭСХАР,ЭСХАР,ЭСХАР
43091,ПОКРОВ,ПОКРОВКА,ПОКРОВКА
43092,ОП41КМ,ОП 41 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 41 КМ
43093,МОХНАЧ,МОХНАЧ,МОХНАЧ
43094,ЗЕЛ-К,ЗЕЛ.КОЛОДЕЗЬ,ЗЕЛЕНЫЙ КОЛОДЕЗЬ
43095,ОП13КМ,ОП 13 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 13 КМ
43100,ТЕРНОВ,ТЕРНОВОЕ,ТЕРНОВОЕ
43101,ОП 5КМ,ОП  5 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  5 КМ
43120,Р.ПЕСК,РАДЬК. ПЕСКИ,РАДЬКОВСКИЕ ПЕСКИ
43121,ОВЩНАЯ,ОВОЩНАЯ,ОВОЩНАЯ
43122,РУБЦЫ,РУБЦЫ,РУБЦЫ
43123,ЯЦКАЯ,ЯЦКАЯ,ЯЦКАЯ
43124,ТРОПА,ТРОПА,ТРОПА
43125,ОП45КМ,ОП 45 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 45 КМ
43126,ПОДЛИМ,ПОДЛИМАНСКАЯ,ПОДЛИМАНСКАЯ
43130,ПРДНБС,ПРЕДДОНБАССВ,ПРЕДДОНБАССОВСКАЯ
43131,ПЛАТОН,ПЛАТОНОВКА,ПЛАТОНОВКА
43132,ОП34КМ,ОП 34 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 34 КМ
43140,КОЛХЗН,КОЛХОЗНАЯ,КОЛХОЗНАЯ
43141,СЕНЬКВ,СЕНЬКОВО,СЕНЬКОВО
43142,СКОРСТ,СКОРОСТНОЙ,СКОРОСТНОЙ
43143,ГЛУШКВ,ГЛУШКОВКА,ГЛУШКОВКА
43144,ОП 8КМ,ОП  8 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  8 КМ
43145,КОВШАР,КОВШАРОВКА,КОВШАРОВКА
43146,ОП23КМ,ОП 23 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 23 КМ
43147,ОП17КМ,ОП 17 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 17 КМ
43160,КУЗЕМВ,КУЗЕМОВКА,КУЗЕМОВКА
43161,УЧЕНИЧ,УЧЕНИЧЕСКИЙ,УЧЕНИЧЕСКИЙ
43162,КРИВШВ,КРИВОШЕЕВКА,КРИВОШЕЕВКА
43163,КАЛИНВ,КАЛИНОВКА,КАЛИНОВКА
43164,ГОНЧРВ,ГОНЧАРОВКА,ГОНЧАРОВКА
43165,КРРЕЧН,КРАСНОРЕЧЕНС,КРАСНОРЕЧЕНСКАЯ
43166,БЕРСТВ,БЕРЕСТОВАЯ,БЕРЕСТОВАЯ
43167,ОП849К,ОП 849 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 849 КМ
43170,КИСЛВК,КИСЛОВКА,КИСЛОВКА
43180,ТПЛ-ЭК,ТОПОЛИ-ЭКСП,ТОПОЛИ-ЭКСПОРТ
43190,ЗАОСКЛ,ЗАОСКОЛЬЕ,ЗАОСКОЛЬЕ
43191,КУЛАГВ,КУЛАГОВКА,КУЛАГОВКА
43192,СЕНЬКВ,СЕНЬКОВКА,СЕНЬКОВКА
43193,МОЛЧАН,МОЛЧАНОВО,МОЛЧАНОВО
43200,ДВУРЕЧ,ДВУРЕЧНАЯ,ДВУРЕЧНАЯ
43201,ГРЕНИК,ГРЕНИКОВКА,ГРЕНИКОВКА
43202,НЕЖДАН,НЕЖДАНОВСКАЯ,НЕЖДАНОВСКАЯ
43203,ЛИМАНС,ЛИМАНСКАЯ,ЛИМАНСКАЯ
43210,ТОПОЛИ,ТОПОЛИ,ТОПОЛИ
43215,,УРАЗОВО-САИПС,УРАЗОВО-САИПС
43220,ДЕРГАЧ,ДЕРГАЧИ,ДЕРГАЧИ
43221,МОТОРН,МОТОРНАЯ,МОТОРНАЯ
43222,Н.ДЕРГ,НОВЫЕ ДЕРГАЧ,НОВЫЕ ДЕРГАЧИ
43223,БЕЗРУК,БЕЗРУКОВКА,БЕЗРУКОВКА
43224,СЛАТИН,СЛАТИНО,СЛАТИНО
43225,ПРУДЯН,ПРУДЯНКА,ПРУДЯНКА
43226,ЦУПОВК,ЦУПОВКА,ЦУПОВКА
43227,Н.КАЗЧ,НОВАЯ КАЗАЧЬ,НОВАЯ КАЗАЧЬЯ
43229,,НАУМОВКА-САИПС,НАУМОВКА-САИПС
43230,КАЗ.ЛП,КАЗАЧ.ЛОПАНЬ,КАЗАЧЬЯ ЛОПАНЬ
43231,ОП737К,ОП 737 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 737 КМ
43251,ПЕРЕСЧ,ПЕРЕСЕЧНАЯ,ПЕРЕСЕЧНАЯ
43252,ЯРОТОВ,ЯРОТОВКА,ЯРОТОВКА
43253,ОП217К,ОП 217 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 217 КМ
43254,ЧЕПЕЛН,ЧЕПЕЛИНО,ЧЕПЕЛИНО
43255,ФЕСКИ,ФЕСКИ,ФЕСКИ
43256,РОГОЗН,РОГОЗЯНКА,РОГОЗЯНКА
43257,ОП205К,ОП 205 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 205 КМ
43258,ЧРНГЛЗ,ЧЕРНОГЛАЗВКА,ЧЕРНОГЛАЗОВКА
43259,СОСНОВ,СОСНОВКА,СОСНОВКА
43260,ЗОЛОЧВ,ЗОЛОЧЕВ,ЗОЛОЧЕВ
43261,СВТЛЧН,СВЕТЛИЧНЫЙ,СВЕТЛИЧНЫЙ
43262,СНЕГИ,СНЕГИ,СНЕГИ
43263,МУРАВС,МУРАВСКИЙ,МУРАВСКИЙ
43270,ОДНРОБ,ОДНОРОБОВКА,ОДНОРОБОВКА
43280,ВЛЧН-Э,ВОЛЧАНСК-ЭКС,ВОЛЧАНСК-ЭКСПОРТ
43290,КУП-ЮЖ,КУПЯНСК-ЮЖ,КУПЯНСК-ЮЖНЫЙ
43291,КОПТАХ,КООПТАХ,КООПТАХ
43292,ОП146К,ОП 146 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 146 КМ
43293,СНЕЖН,СНЕЖНАЯ,СНЕЖНАЯ
43294,ОП141К,ОП 141 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 141 КМ
43295,ШАПКОВ,ШАПКОВКА,ШАПКОВКА
43296,МОНЧНВ,МОНАЧИНОВКА,МОНАЧИНОВКА
43297,СЕЛЕЩЕ,СЕЛЕЩЕ,СЕЛЕЩЕ
43300,ГУСИНК,ГУСИНКА,ГУСИНКА
43301,ОП120К,ОП 120 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 120 КМ
43302,ПРИЛЮТ,ПРИЛЮТОВО,ПРИЛЮТОВО
43310,ШИПОВТ,ШИПОВАТОЕ,ШИПОВАТОЕ
43311,БЕРЕЗН,БЕРЕЗНИК,БЕРЕЗНИК
43319,ПП104К,ПП 104 КМ,ПУТЕВОЙ ПОСТ 104 КМ
43320,БУРЛУК,БУРЛУК,БУРЛУК
43321,ПОСЕЛЧ,ПОСЕЛОЧНАЯ,ПОСЕЛОЧНАЯ
43322,ГНИЛИЦ,ГНИЛИЦА,ГНИЛИЦА
43323,РАЗОРН,РАЗОРЕННОЕ,РАЗОРЕННОЕ
43330,ПРИКЛТ,ПРИКОЛОТНОЕ,ПРИКОЛОТНОЕ
43331,ОП79КМ,ОП 79 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 79 КМ
43332,БАКШВК,БАКШЕЕВКА,БАКШЕЕВКА
43333,ОП72КМ,ОП 72 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 72 КМ
43340,Б.КОЛД,БЕЛ.КОЛОДЕЗЬ,БЕЛЫЙ КОЛОДЕЗЬ
43341,МАШЕЛЬ,МАШЕЛЬ,МАШЕЛЬ
43342,ГАРБУЗ,ГАРБУЗОВКА,ГАРБУЗОВКА
43350,ВОЛЧАН,ВОЛЧАНСК,ВОЛЧАНСК
43351,ОГУРЦВ,ОГУРЦОВО,ОГУРЦОВО
43360,ПШКР-Э,ПУШКАРНОЕ-ЭК,ПУШКАРНОЕ-ЭКСПОРТ
43361,ПУШКАР,ПУШКАРНОЕ,ПУШКАРНОЕ
43362,ПЯТИПЛ,ПЯТИПОЛЬЕ,ПЯТИПОЛЬЕ
43363,АЛЕКСН,АЛЕКСАНДРОВК,АЛЕКСАНДРОВКА
43364,СТУПОВ,СТУПОВКА,СТУПОВКА
43370,КРСНПЛ,КРАСНОПОЛЬЕ,КРАСНОПОЛЬЕ
43380,КОРЧАК,КОРЧАКОВКА,КОРЧАКОВКА
43381,ГЛБНОЕ,ГЛЫБНОЕ,ГЛЫБНОЕ
43382,ЗЛТНЦК,ЗОЛОТНИЦКИЙ,ЗОЛОТНИЦКИЙ
43383,ЖЛЗНЯК,ЖЕЛЕЗНЯК,ЖЕЛЕЗНЯК
43384,БЕЗРИК,БЕЗДРИК,БЕЗДРИК
43385,ОП13КМ,ОП 13 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 13 КМ
43400,НЕЖ-ЭК,НЕЖЕГОЛЬ-ЭКС,НЕЖЕГОЛЬ-ЭКСПОРТ
43410,НЕЖЕГЛ,НЕЖЕГОЛЬ,НЕЖЕГОЛЬ
43411,КАРЬЕР,КАРЬЕРНАЯ,КАРЬЕРНАЯ
43412,ПРИЛЮТ,ПРИЛЮТОВКА,ПРИЛЮТОВКА
43413,БОТКИН,БОТКИНО,БОТКИНО
43414,,ОП 31 КМ,ОСТ. ПУНКТ 31 КМ
43415,,НЕЖЕГОЛЬ-САИПС,НЕЖЕГОЛЬ САИПС
43420,ШЕБЕКН,ШЕБЕКИНО,ШЕБЕКИНО
43422,КР.ХУТ,КРАСН.ХУТОР,КРАСНЫЙ ХУТОР
43423,НАУМВК,НАУМОВКА,НАУМОВКА
43424,ДМИТРТ,ДМИТРОТАРАНВ,ДМИТРОТАРАНОВСКИЙ
43430,ТОЛОКН,ТОЛОКОННОЕ,ТОЛОКОННОЕ
43440,ДОЛБИН,ДОЛБИНО,ДОЛБИНО
43441,ГОЛОВН,ГОЛОВИНО,ГОЛОВИНО
43442,БОЛХВЦ,БОЛХОВЕЦ,БОЛХОВЕЦ
43443,КРАНОЕ,КРАСНОЕ,КРАСНОЕ
43444,ОП701К,ОП 701 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 701 КМ
43445,,САЛЮТ,САЛЮТ
43449,,БЕЛГОРОД-СЕВ,БЕЛГОРОД-СЕВ
43450,БЕЛГРД,БЕЛГОРОД,БЕЛГОРОД
43451,БЕЛ.ГР,БЕЛАЯ ГОРА,БЕЛАЯ ГОРА
43452,ЗЛ.ПОЛ,ЗЕЛЕН.ПОЛЯНА,ЗЕЛЕНАЯ ПОЛЯНА
43454,ШОПИНО,ШОПИНО,ШОПИНО
43455,ТЕРНОВ,ТЕРНОВКА,ТЕРНОВКА
43456,ВИСЛОЕ,ВИСЛОЕ,ВИСЛОЕ
43457,,ОП 689 КМ,ОСТ. ПУНКТ 689 КМ
43458,,ОП 676 КМ,ОСТ. ПУНКТ 676 КМ
43460,БЕЛМСТ,БЕЛОМЕСТНАЯ,БЕЛОМЕСТНАЯ
43470,ГОСТИЩ,ГОСТИЩЕВО,ГОСТИЩЕВО
43471,ОЗЕРОВ,ОЗЕРОВО,ОЗЕРОВО
43481,ТЕТЕРВ,ТЕТЕРЕВИНО,ТЕТЕРЕВИНО
43482,САЖНОЕ,САЖНОЕ,САЖНОЕ
43491,ТАН.ПЛ,ТАНКОВОЕ ПОЛ,ТАНКОВОЕ ПОЛЕ
43492,,ЗВОННИЦА,ЗВОННИЦА
43500,ПРХРВК,ПРОХОРОВКА,ПРОХОРОВКА
43501,ОП633К,ОП 633 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 633 КМ
43502,ЕЛЬНКВ,ЕЛЬНИКОВО,ЕЛЬНИКОВО
43503,ОЛЬШНК,ОЛЬШАНКА,ОЛЬШАНКА
43504,ВИХРОВ,ВИХРОВКА,ВИХРОВКА
43505,ОП635К,ОП 635 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 635 КМ
43510,РЖАВА,РЖАВА,РЖАВА
43511,ОП609К,ОП 609 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 609 КМ
43512,НАГОЛН,НАГОЛЬНОЕ,НАГОЛЬНОЕ
43513,КРИВЦВ,КРИВЦОВО,КРИВЦОВО
43514,ЗОРИНО,ЗОРИНО,ЗОРИНО
43530,ОБОЯНЬ,ОБОЯНЬ,ОБОЯНЬ
43540,БЕЛЕНХ,БЕЛЕНИХИНО,БЕЛЕНИХИНО
43550,БЕЛГ-С,БЕЛГОРОД-СУМ,БЕЛГОРОД-СУМСКОЙ
43551,ОП143К,ОП 143 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 143 КМ
43552,КАШАРЫ,КАШАРЫ,КАШАРЫ
43553,СПУТНК,СПУТНИК,СПУТНИК
43554,ЗАРЕЧК,ЗАРЕЧКА,ЗАРЕЧКА
43555,Р134КМ,РЗД 134 КМ,РАЗ'ЕЗД 134 КМ
43556,ДБР.ВЛ,ДОБРАЯ ВОЛЯ,ДОБРАЯ ВОЛЯ
43557,ДУБИНЫ,ДУБИНЫ,ДУБИНЫ
43558,ОП126К,ОП 126 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 126 КМ
43559,,ОП 136 КМ,ОСТ. ПУНКТ 136 КМ
43560,ТОМАРВ,ТОМАРОВКА,ТОМАРОВКА
43561,ОП110К,ОП 110 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 110 КМ
43562,ОП105К,ОП 105 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 105 КМ
43563,ГЕРЦВК,ГЕРЦОВКА,ГЕРЦОВКА
43564,ДМИТРВ,ДМИТРИЕВСКАЯ,ДМИТРИЕВСКАЯ
43565,,ОП 124 КМ,ОСТ. ПУНКТ 124 КМ
43566,,ОП 93 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 93 КМ
43570,СУМОВС,СУМОВСКАЯ,СУМОВСКАЯ
43571,,ОП 3 КМ,ОСТ. ПУНКТ 3 КМ
43580,ИВНЯ,ИВНЯ,ИВНЯ
43581,САШИНО,САШИНО,САШИНО
43590,КРЕЙДА,КРЕЙДА,КРЕЙДА
43591,ЖЕЛДОР,ЖЕЛЕЗНОДОРОЖ,ЖЕЛЕЗНОДОРОЖНИК
43592,ВИТАМН,ВИТАМИННАЯ,ВИТАМИННАЯ
43600,РАЗУМН,РАЗУМНОЕ,РАЗУМНОЕ
43601,ТОПЛИН,ТОПЛИНКА,ТОПЛИНКА
43602,ПИОНЕР,ПИОНЕРСКАЯ,ПИОНЕРСКАЯ
43603,,ОП 16 КМ,ОСТ. ПУНКТ 16 КМ
43611,КОЗАЧК,КОЗАЧОК,КОЗАЧОК
43612,,ХОТМЫЖСК-САИПС,ХОТМЫЖСК САИПС
43620,ХОТМЫЖ,ХОТМЫЖСК,ХОТМЫЖСК
43621,КРАСЕВ,КРАСЕВО,КРАСЕВО
43630,НВБРСВ,НОВОБОРИСОВК,НОВОБОРИСОВКА
43631,ОП148К,ОП 148 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 148 КМ
43632,КУЛИНВ,КУЛИНОВКА,КУЛИНОВКА
43633,ОП140К,ОП 140 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 140 КМ
43634,ТРЕФЛВ,ТРЕФИЛОВКА,ТРЕФИЛОВКА
43635,ОП131К,ОП 131 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 131 КМ
43636,,ОП 151 КМ,ОСТ. ПУНКТ 151 КМ
43639,,ГОТНЯ-САИПС,ГОТНЯ САИПС
43640,ГОТНЯ,ГОТНЯ,ГОТНЯ
43641,ОП91КМ,ОП 91 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 91 КМ
43650,МЛН.ЯР,МАЛИНОВ ЯР,МАЛИНОВ ЯР
43660,ИЛ-П-Э,ИЛЕК-ПЕН-ЭКС,ИЛЕК-ПЕНЬКОВКА-ЭКСПОРТ
43661,ЗИНАИД,ЗИНАИДИНО,ЗИНАИДИНО
43670,СВЕКЛВ,СВЕКЛОВИЧНАЯ,СВЕКЛОВИЧНАЯ
43671,КРИСАН,КРИСАНОВО,КРИСАНОВО
43672,,ОП 64 КМ,ОСТ. ПУНКТ 64 КМ
43679,,ИЛЕК-ПЕНЬКОВКА-САИПС,ИЛЕК-ПЕНЬКОВКА-САИПС
43680,ИЛ-ПНК,ИЛЕК-ПЕНЬКОВ,ИЛЕК-ПЕНЬКОВКА
43720,СОЛНЦВ,СОЛНЦЕВО,СОЛНЦЕВО
43721,ГРИДАС,ГРИДАСОВО,ГРИДАСОВО
43722,НАДЕЖВ,НАДЕЖЕВКА,НАДЕЖЕВКА
43723,САРАЕВ,САРАЕВКА,САРАЕВКА
43724,,ОП 600 КМ,ОСТ. ПУНКТ 600 КМ
43725,СЕЙМИЦ,СЕЙМИЦА,СЕЙМИЦА
43726,САЗАНВ,САЗАНОВКА,САЗАНОВКА
43727,,ОП 4 КМ,ОСТ. ПУНКТ 4 КМ
43728,,ПОСТ 2 КМ,ПОСТ 2 КМ
43731,ОП574К,ОП 574 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 574 КМ
43732,КРАСНК,КРАСНИКОВО,КРАСНИКОВО
43733,ГУТОРВ,ГУТОРОВО,ГУТОРОВО
43734,ШУМАКВ,ШУМАКОВО,ШУМАКОВО
43740,ПОЛЕВ,ПОЛЕВАЯ,ПОЛЕВАЯ
43741,КОЛОДН,КОЛОДНОЕ,КОЛОДНОЕ
43742,ЗАПЛАВ,ЗАПЛАВА,ЗАПЛАВА
43743,КОНАРВ,КОНАРЕВО,КОНАРЕВО
43750,КЛЮКВА,КЛЮКВА,КЛЮКВА
43780,КРИВЕЦ,КРИВЕЦКАЯ,КРИВЕЦКАЯ
43781,ПРИУСТ,ПРИУСТЬЕ,ПРИУСТЬЕ
43782,ОП34КМ,ОП 34 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 34 КМ
43783,СТРОКН,СТРОКИНО,СТРОКИНО
43784,ОП24КМ,ОП 24 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 24 КМ
43790,ЧАПЛЫЖ,ЧАПЛЫЖНОЕ,ЧАПЛЫЖНОЕ
43791,ЗАЛОМН,ЗАЛОМНОЕ,ЗАЛОМНОЕ
43792,ОСКОЛЦ,ОСКОЛЕЦ,ОСКОЛЕЦ
43793,ЗАРЕЧН,ЗАРЕЧЕНКА,ЗАРЕЧЕНКА
43794,ГУБ-П,ГУБКИН-ПАСС,ГУБКИН-ПАССАЖИРСКИЙ
43795,ОП57КМ,ОП 57 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 57 КМ
43796,ОП64КМ,ОП 64 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 64 КМ
43800,ГУБКИН,ГУБКИН,ГУБКИН
