/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
1446,ОП1147,ОП 1147 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1147 К
1448,,ОП 1064 КМ,ОСТ. ПУНКТ 1064 КМ
1451,КИРКИ,КИРКИ,КИРКИ
1452,ПЛ11КМ,ПЛ 11   КМ,ПЛАТФОРМА 11   КМ
1453,ПЛ16КМ,ПЛ 16   КМ,ПЛАТФОРМА 16   КМ
1454,ВУД-ОЗ,ВУД-ОЗЕРО,ВУД-ОЗЕРО
1455,ПЛ20КМ,ПЛ 20   КМ,ПЛАТФОРМА 20   КМ
1456,ПЛ26КМ,ПЛ 26   КМ,ПЛАТФОРМА 26   КМ
1457,БУДАСС,БУДАССИ,БУДАССИ
1458,ПЛ38КМ,ПЛ 38   КМ,ПЛАТФОРМА 38   КМ
1460,Б.МР-Э,БЕЛ.МОРЕ-ЭКС,БЕЛОЕ МОРЕ-ЭКСПОРТ
1461,НЯМ-ОЗ,НЯМ-ОЗЕРО,НЯМ-ОЗЕРО
1462,ТОВАНД,ТОВАНД,ТОВАНД
1463,ПЛ57КМ,ПЛ 57   КМ,ПЛАТФОРМА 57   КМ
1464,КАПРАЕ,КАПРАЕВО,КАПРАЕВО
1465,ПЛ62КМ,ПЛ 62   КМ,ПЛАТФОРМА 62   КМ
1468,ПЛ93КМ,ПЛ 93   КМ,ПЛАТФОРМА 93   КМ
1470,АЛАКУР,АЛАКУРТТИ,АЛАКУРТТИ
1480,Б.МОРЕ,БЕЛОЕ МОРЕ,БЕЛОЕ МОРЕ
1481,ОП1157,ОП 1157 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1157 К
1482,ПРОЛИВ,ПРОЛИВЫ,ПРОЛИВЫ
1490,КАНДАЛ,КАНДАЛАКША,КАНДАЛАКША
1491,ОП1175,ОП 1175 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1175 К
1492,ОП1178,ОП 1178 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1178 К
1493,ПЛЕСОЗ,ПЛЕСОЗЕРО,ПЛЕСОЗЕРО
1494,ОП1186,ОП 1186 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1186 К
1495,ОП1189,ОП 1189 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1189 К
1496,,ОП 1180 КМ,ОСТ. ПУНКТ 1180 КМ
1500,КАНД-П,КАНДАЛАКША-П,КАНДАЛАКША-ПЕРЕВАЛКА
1510,ПИНОЗР,ПИНОЗЕРО,ПИНОЗЕРО
1511,ЧЕРВАС,ЧЕРВАС,ЧЕРВАС
1512,ПАСМА,ПАСМА,ПАСМА
1513,УПОЛОК,УПОЛОКША,УПОЛОКША
1514,ПЛ54КМ,ПЛ 54   КМ,ПЛАТФОРМА 54   КМ
1515,КОЛЮЖН,КОЛЮЖНЫЙ,КОЛЮЖНЫЙ
1516,ПЛ70КМ,ПЛ 70   КМ,ПЛАТФОРМА 70   КМ
1517,,ОП 19 КМ,ОСТ. ПУНКТ 19 КМ
1520,ЕНА,ЕНА,ЕНА
1531,ПЛ112К,ПЛ 112  КМ,ПЛАТФОРМА 112  КМ
